Interval Data Recording,
,,,,,
Sequence #,Timestamp,A1 kWh,A2 kWh,A3 kWh,A System kWh
68136,2025/03/03 09:38:36 AM,259277.14,231563.05,262345.62,753185.81
68137,2025/03/03 09:53:37 AM,259282.95,231568.64,262351.50,753203.12
68138,2025/03/03 10:08:37 AM,259288.72,231574.17,262357.31,753220.19
68139,2025/03/03 10:23:38 AM,259294.62,231579.83,262363.28,753237.75
68140,2025/03/03 10:38:38 AM,259300.44,231585.39,262369.16,753255.00
68141,2025/03/03 10:53:39 AM,259306.48,231591.22,262375.31,753273.00
68142,2025/03/03 11:08:39 AM,259312.50,231597.05,262381.47,753291.00
68143,2025/03/03 11:23:39 AM,259318.31,231602.61,262387.47,753308.37
68144,2025/03/03 11:38:40 AM,259324.20,231608.23,262393.47,753325.87
68145,2025/03/03 11:53:40 AM,259330.03,231613.86,262399.44,753343.31
68146,2025/03/03 12:08:41 PM,259336.25,231619.80,262405.81,753361.87
68147,2025/03/03 12:23:41 PM,259343.33,231626.67,262413.19,753383.19
68148,2025/03/03 12:38:42 PM,259350.61,231633.72,262420.75,753405.06
68149,2025/03/03 12:53:42 PM,259358.06,231640.89,262428.47,753427.37
68150,2025/03/03 01:08:43 PM,259365.58,231648.00,262436.22,753449.75
68151,2025/03/03 01:23:43 PM,259372.94,231654.50,262443.62,753471.06
68152,2025/03/03 01:38:44 PM,259380.12,231660.84,262450.87,753491.87
68153,2025/03/03 01:53:44 PM,259387.42,231667.28,262458.19,753512.87
68154,2025/03/03 02:08:45 PM,259394.62,231673.59,262465.37,753533.62
68155,2025/03/03 02:23:45 PM,259400.14,231678.37,262470.91,753549.37
68156,2025/03/03 02:38:46 PM,259402.80,231680.78,262473.37,753556.94
68157,2025/03/03 02:53:46 PM,259402.97,231680.92,262473.66,753557.50
68158,2025/03/03 03:08:47 PM,259403.00,231680.92,262473.78,753557.75
68159,2025/03/03 03:23:47 PM,259403.02,231680.92,262473.91,753557.87
68160,2025/03/03 03:38:48 PM,259403.06,231680.94,262474.03,753558.00
68161,2025/03/03 03:53:48 PM,259403.08,231680.94,262474.16,753558.12
68162,2025/03/03 04:08:49 PM,259403.11,231680.94,262474.28,753558.37
68163,2025/03/03 04:23:49 PM,259403.12,231680.94,262474.44,753558.50
